,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,LT_21-01-2019_16:03,1314.6,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1200.0,1260.0
1,LT_21-01-2019_16:08,1314.6,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1200.0,1260.0
2,LT_22-01-2019_09:00,1314.6,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1200.0,1260.0
3,LT_22-01-2019_09:30,1315.1,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1200.0,1260.0
4,LT_22-01-2019_10:00,1310.2,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1200.0,1260.0
5,LT_22-01-2019_10:30,1308.3,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
6,LT_22-01-2019_11:00,1305.85,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
7,LT_22-01-2019_11:30,1302.45,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
8,LT_22-01-2019_12:00,1305.7,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
9,LT_22-01-2019_12:30,1303.5,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
10,LT_22-01-2019_13:00,1304.15,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
11,LT_22-01-2019_13:30,1305.35,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
12,LT_22-01-2019_14:00,1304.6,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
13,LT_22-01-2019_14:30,1303.0,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
14,LT_22-01-2019_15:00,1303.65,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
15,LT_22-01-2019_15:25,1299.2,1400.0,1360.0,1380.0,1340.0,1280.0,1260.0,1240.0,1200.0
16,LT_22-01-2019_15:32,1300.4,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1260.0,1200.0
17,LT_23-01-2019_09:00,1300.0,1400.0,1360.0,1380.0,1340.0,1280.0,1260.0,1200.0,1240.0
18,LT_23-01-2019_09:30,1296.85,1400.0,1360.0,1380.0,1340.0,1280.0,1260.0,1200.0,1240.0
19,LT_23-01-2019_10:00,1302.5,1400.0,1360.0,1380.0,1340.0,1300.0,1280.0,1200.0,1240.0
20,LT_23-01-2019_10:30,1297.65,1400.0,1360.0,1340.0,1380.0,1280.0,1200.0,1240.0,1260.0
21,LT_23-01-2019_11:00,1298.45,1400.0,1360.0,1340.0,1380.0,1280.0,1200.0,1260.0,1240.0
22,LT_23-01-2019_11:30,1305.05,1400.0,1360.0,1340.0,1380.0,1280.0,1300.0,1200.0,1260.0
23,LT_23-01-2019_12:00,1304.4,1400.0,1360.0,1340.0,1380.0,1280.0,1300.0,1260.0,1200.0
24,LT_23-01-2019_12:30,1303.95,1400.0,1360.0,1340.0,1380.0,1300.0,1280.0,1260.0,1200.0
