,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,200,11.00,-,-,15400.00,-,-,-,-,-,-,-,-,-,-,15689.75
1,-,-,-,-,-,-,200,11.00,-,-,15500.00,-,-,-,-,-,-,-,-,-,-,15689.75
2,-,-,-,-,-,-,200,11.00,-,-,15600.00,-,-,-,-,-,-,-,-,-,-,15689.75
3,-,-,-,-,-,-,200,0.10,-,-,15700.00,100,0.10,-,-,-,-,-,-,-,-,15689.75
4,-,-,-,-,-,-,-,-,-,-,15800.00,100,5.00,-,-,-,-,-,-,-,-,15689.75
5,-,-,-,-,-,-,-,-,-,-,15900.00,100,11.00,-,-,-,-,-,-,-,-,15689.75
6,-,-,-,-,-,-,-,-,-,-,16000.00,100,11.00,-,-,-,-,-,-,-,-,15689.75
7,-,-,-,-,-,-,-,-,-,-,16100.00,100,11.00,-,-,-,-,-,-,-,-,15689.75
8,-,-,-,-,-,-,-,-,-,-,16200.00,100,11.00,-,-,-,-,-,-,-,-,15689.75
9,-,-,-,-,-,-,-,-,-,-,16300.00,100,11.00,-,-,-,-,-,-,-,-,15689.75
10,-,-,-,-,-,-,-,-,-,-,16400.00,100,11.00,-,-,-,-,-,-,-,-,15689.75
11,-,-,-,-,-,-,-,-,-,-,16500.00,250,11.00,-,-,-,-,-,-,-,-,15689.75
